Bratislava-Devin;Celkovavymerauzemiaobce-mesta(vm2);13964197;13964197;13964197;13964197;13964197;13964197;13964197;13964197;13964197;13964197;13964197;13964197;13979475;13979563;13979563;13979563;14007658;14007658;14007658;14007658;14007658;14007658;
;PolnohospodarskaPoda-spolu(vm2);2758231;2757651;2767858;2759359;2760991;2760373;2759640;2756354;2753079;2752529;2702865;2701564;2677110;2674952;2666812;2662940;2660639;2623516;2620375;2612093;2609589;2595204;
;PolnohospodarskaPoda-ornaPoda(vm2);471538;471180;467572;463604;466979;466908;444131;444131;458145;458145;455862;455454;455454;455454;455454;455454;453023;448192;448146;442154;441310;441310;
;PolnohospodarskaPoda-chmelnica(vm2);0;0;23;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;PolnohospodarskaPoda-vinica(vm2);843263;843263;847198;842628;843812;840993;876804;876755;861136;861136;813948;813948;795918;795918;793528;778977;779971;747442;672686;668813;668813;668508;
;PolnohospodarskaPoda-zahrada;858782;858560;857520;857555;856683;858774;857636;854903;856578;856028;855835;856182;852026;849868;842964;853679;852818;849720;848846;856441;854916;852788;
;PolnohospodarskaPoda-ovocnysad(vm2);249380;249380;249380;249380;242851;241351;242577;242577;242577;242175;239140;238275;238275;238275;239283;239283;239283;239220;239220;239220;239220;239220;
;PolnohospodarskaPoda-trvalytravnyporast(vm2);335268;335268;346165;346169;350643;352347;338492;337988;334643;335045;338080;337705;335437;335437;335583;335547;335544;338942;411477;405465;405330;393378;
;NepolnohospodarskaPoda-spolu;11205966;11206546;11196339;11204838;11203206;11203824;11204557;11207843;11211118;11211668;11261332;11262633;11302365;11304611;11312751;11316623;11347019;11384142;11387283;11395565;11398069;11412454;
;NepolnohospodarskaPoda-lesnypozemok(vm2);8207563;8207719;8206822;8205220;8203775;8193167;8193167;8193065;8193065;8193065;8193065;8193065;8193065;8192956;8192956;8192956;8192956;8192794;8192794;8192794;8192794;8192794;
;NepolnohospodarskaPoda-vodnaplocha(vm2);834541;834541;834541;834541;834541;834405;834405;834405;834405;834405;834405;834405;849683;849683;849687;849687;877782;877782;877782;877782;877782;877781;
;NepolnohospodarskaPoda-zastavanaplochaanadvorie(vm2);539832;501175;502354;513484;515090;516243;520428;515201;517110;518521;521752;522897;525419;540229;542547;545221;548927;556439;564392;592176;601624;605954;
;NepolnohospodarskaPoda-ostatnaplocha(vm2);1624030;1663111;1652622;1651593;1649800;1660009;1656557;1665172;1666538;1665677;1712110;1712266;1734198;1721743;1727561;1728759;1727354;1757127;1752315;1732813;1725869;1735925;
Bratislava-DevinskaNovaVes;Celkovavymerauzemiaobce-mesta(vm2);24227754;24227754;24227754;24227754;24224535;24224535;24224535;24224535;24224535;24224535;24224535;24224535;24217253;24217253;24217253;24217253;24217253;24217253;24217253;24217253;24217253;24217253;
;PolnohospodarskaPoda-spolu(vm2);13221825;13227779;13297633;13168353;13165980;13096944;13094053;13070932;12974161;13082941;13070161;13067472;13024181;12995924;12970449;12751172;12552847;12501109;12467960;12402636;12240503;12206915;
;PolnohospodarskaPoda-ornaPoda(vm2);10561583;10565343;10632034;10375451;10374818;10346737;10346266;10321909;8170586;7379628;7359482;7360560;7267202;7258135;7272042;7045159;6854971;6804814;6792254;6734309;6539784;6510522;
;PolnohospodarskaPoda-vinica(vm2);96033;95786;95810;95235;95235;95151;95151;94940;94940;94915;89938;89707;88809;82397;81668;79946;79946;79152;75488;69760;69127;68492;
;PolnohospodarskaPoda-zahrada;1017791;1019417;1015550;1144194;1142524;1096944;1092861;1094351;1093680;1028364;1039811;1031659;1092325;1080462;1083309;1092619;1085923;1085232;1068177;1067020;1063149;1059828;
;PolnohospodarskaPoda-ovocnysad(vm2);0;0;0;0;0;0;0;0;0;0;0;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;
;PolnohospodarskaPoda-trvalytravnyporast(vm2);1546418;1547233;1554239;1553473;1553403;1558112;1559775;1559732;3614955;4580034;4580930;4583599;4573898;4572983;4531483;4531501;4530060;4529964;4530094;4529600;4566496;4566126;
;NepolnohospodarskaPoda-spolu;11005929;10999975;10930121;11059401;11058555;11127591;11130482;11153603;11250374;11141594;11154374;11157063;11193072;11221329;11246804;11466081;11664406;11716144;11749293;11814617;11976750;12010338;
;NepolnohospodarskaPoda-lesnypozemok(vm2);3089786;3089786;3089961;3089961;3086742;3086800;3086800;3086800;3086800;3086800;3086800;3086800;3086758;3086758;3075199;3075199;3075199;3075199;3075199;3075199;3078195;3078195;
;NepolnohospodarskaPoda-vodnaplocha(vm2);878126;877748;877748;877853;877853;877853;877827;877827;877827;877827;877140;877132;869802;869802;868387;868387;866576;865088;865076;869589;869589;869589;
;NepolnohospodarskaPoda-zastavanaplochaanadvorie(vm2);4568573;3828104;3280750;3242430;3244964;3324512;3336492;3740608;3869953;3896607;3893786;4185914;4209893;4210072;4212994;4241580;4255404;4326000;4386765;4557123;4569070;4620829;
;NepolnohospodarskaPoda-ostatnaplocha(vm2);2469444;3204337;3681662;3849157;3848996;3838426;3829363;3448368;3415794;3280360;3296648;3007217;3026619;3054697;3090224;3280915;3467227;3449857;3422253;3312706;3459896;3441725;
Bratislava-Dubravka;Celkovavymerauzemiaobce-mesta(vm2);8625880;8625880;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;8648836;
;PolnohospodarskaPoda-spolu(vm2);2734751;2734716;2741170;2736784;2729825;2723533;2715557;2758711;2754092;2746930;2720129;2712031;2662266;2655185;2630479;2621649;2580520;2573749;2549600;2533718;2514794;2500583;
